sep=|
DIPUTACIONES LOCALES
2019/06/03 05:47 (UTC-5)
ACTAS_ESPERADAS|ACTAS_REGISTRADAS|ACTAS_FUERA_CATALOGO|ACTAS_CAPTURADAS|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|PORCENTAJE_ACTAS_CONTABILIZADAS|PORCENTAJE_ACTAS_INCONSISTENCIAS|ACTAS_NO_CONTABILIZADAS|LISTA_NOMINAL_ACTAS_CONTABILIZADAS|TOTAL_VOTOS_C_CS|TOTAL_VOTOS_S_CS|PORCENTAJE_PARTICIPACION_CIUDADANA
2136|2136|0|2136|100.0000|2031|95.0842|23.0337|105|1187254|263005|262598|22.1523

CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|TOTAL_BOLETAS_SOBRANTES|TOTAL_PERSONAS_VOTARON|TOTAL_REP_PARTIDO_CI_VOTARON|TOTAL_VOTOS_SACADOS|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CQROO|PESQROO|C_PAN_PRD_PESQROO|C_PAN_PRD|C_PAN_PESQROO|C_PRD_PESQROO|C_PVEM_PT_MORENA|C_PVEM_PT|C_PVEM_MORENA|C_PT_MORENA|CAND_IND_1|CAND_IND_2|CAND_IND_3|NO_REGISTRADOS|NULOS|TOTAL_VOTOS_ASENTADO|TOTAL_VOTOS_CALCULADO|LISTA_NOMINAL|REPRESENTANTES_PP_CI|OBSERVACIONES|CONTABILIZADA|MECANISMOS_TRASLADO|SHA|FECHA_HORA_ACOPIO|FECHA_HORA_CAPTURA|FECHA_HORA_VERIFICACION|ORIGEN|DIGITALIZACION|TIPO_DOCUMENTO
="230117C0100"|230117C010002|23|QUINTANA ROO|1|DISTRITO 1|117|1|C|0|1|2|486|119|9|130|17|10|4|25|7|6|38|7|3|6|0|0|0|0|0|0|0|0|-|-|-|0|7|130|130|596|9||1|F|c65e0e72e4e6d11ce164f7f3c0baefbe5d93b2e26466f354d07675fd08774928|2019-06-03 00:31:00|2019-06-03 00:43:46|2019-06-03 00:47:34|CATD|ESCANER|ACTA PREP
="230119B0100"|230119B010002|23|QUINTANA ROO|1|DISTRITO 1|119|1|B|0|1|2|506|65|6|71|22|3|0|13|1|3|16|2|3|1|0|1|0|0|0|0|0|0|-|-|-|1|5|71|71|557|6||1|F|0b7f4ec20ed759080f40a74640defdfaee61890ec35fd87a304f39ec6c1c20c8|2019-06-03 00:44:00|2019-06-03 01:06:56|2019-06-03 01:11:07|CATD|ESCANER|ACTA PREP
="230136B0100"|230136B010002|23|QUINTANA ROO|1|DISTRITO 1|136|1|B|0|1|2|432|91|5|96|28|5|2|24|1|7|14|6|0|3|0|2|0|0|0|0|0|0|-|-|-|0|4|96|96|508|5||1|F|17c792588aec6f392fcae18c9c98fd1f59909f31ca3898096f10cf4ad29909c8|2019-06-03 00:19:00|2019-06-03 00:34:08|2019-06-03 00:42:11|CATD|ESCANER|ACTA PREP
="230137B0100"|230137B010002|23|QUINTANA ROO|1|DISTRITO 1|137|1|B|0|1|2|499|127|7|134|58|5|1|18|3|6|24|3|4|2|1|1|0|0|0|0|0|0|-|-|-|0|8|134|134|613|7||1|F|62c10727e9eb7e50f6bfb09f6d9f6a3bbcb01bd327024c57da44d8815d9c75de|2019-06-03 12:41:00|2019-06-03 01:10:52|2019-06-03 01:21:34|CATD|ESCANER|ACTA PREP
="230137S0100"|230137S010003|23|QUINTANA ROO|1|DISTRITO 1|137|1|S|0|1|3|614|123|0|33|11|5|3|2|1|0|8|0|1|0|0|0|0|0|0|0|0|0|-|-|-|0|2|33|33|0|0||1|F|d7ec690ce90f1f21504e636658ae0768c74b865933c12e766a880503710ff0b8|2019-06-03 01:05:00|2019-06-03 04:14:16|2019-06-03 04:21:11|CATD|ESCANER|ACTA PREP
="230169B0100"|230169B010002|23|QUINTANA ROO|1|DISTRITO 1|169|1|B|0|1|2|565|106|1|133|76|3|2|17|0|5|16|5|2|2|SIN DATO|SIN DATO|1|SIN DATO|0|0|0|0|-|-|-|SIN DATO|4|133|133|679|1|ALGUN DATO ILEGIBLE O SIN DATO|1|F|ee759c2f6a6d72bf58ae719c04e140b30b886bc51e40ba4a112265f5c1ffe702|2019-06-03 00:24:00|2019-06-03 01:04:15|2019-06-03 01:13:57|CATD|ESCANER|ACTA PREP
="230169C0100"|230169C010002|23|QUINTANA ROO|1|DISTRITO 1|169|1|C|0|1|2|571|121|7|128|81|3|1|9|3|4|6|7|5|1|0|0|0|0|0|0|0|0|-|-|-|0|8|128|128|679|7||1|F|b37538c7d668fc36602333dec44f5ab8436e19b867004d25e69fbf079063472f|2019-06-03 12:52:00|2019-06-03 01:31:04|2019-06-03 01:34:09|CATD|ESCANER|ACTA PREP
="230169C0200"|230169C020002|23|QUINTANA ROO|1|DISTRITO 1|169|2|C|0|1|2|577|115|6|121|74|5|1|14|4|9|6|3|0|3|0|1|0|1|0|0|0|0|-|-|-|0|0|121|121|678|6||1|F|acfab7f17ee9a229932fe15e930cbedeac9d59974bb8df06e1d59544a53335a7|2019-06-03 12:55:00|2019-06-03 01:23:34|2019-06-03 01:32:52|CATD|ESCANER|ACTA PREP
="230169S0100"|230169S010003|23|QUINTANA ROO|1|DISTRITO 1|169|1|S|0|1|3|708|44|0|44|13|3|0|1|2|6|13|3|1|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|0|0|0|0|-|-|-|0|3|46|46|0|0|ALGUN DATO ILEGIBLE O SIN DATO|1|F|2d5e4b87f436d43bf65d04ce53da0b708f23729fec02643e73f49e1ff5d98f59|2019-06-03 12:24:00|2019-06-03 04:09:22|2019-06-03 04:13:22|CATD|ESCANER|ACTA PREP
="230170B0100"|230170B010002|23|QUINTANA ROO|1|DISTRITO 1|170|1|B|0|1|2|594|85|8|93|41|4|1|7|3|11|11|4|4|2|1|0|1|0|0|0|0|0|-|-|-|0|3|93|93|667|8||1|F|91bf6b7398cdbd5a854a11418ac81e540a74c83169b214b5c4dfc0fe562bae0a|2019-06-03 00:21:00|2019-06-03 00:37:59|2019-06-03 00:44:43|CATD|ESCANER|ACTA PREP
