ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
23,3,C_PVEM_PT,WILBERT ALBERTO BATUN CHULIM,JULIO EFREN MONTENEGRO AGUILAR
23,3,MORENA,WILBERT ALBERTO BATUN CHULIM,JULIO EFREN MONTENEGRO AGUILAR
23,3,PT,WILBERT ALBERTO BATUN CHULIM,JULIO EFREN MONTENEGRO AGUILAR
23,3,PVEM,WILBERT ALBERTO BATUN CHULIM,JULIO EFREN MONTENEGRO AGUILAR
23,3,MAS,NOE GABRIEL GARCIA GONZALEZ,SILVIA BETHEL HERRERA RAMIREZ
23,3,CQROO,EDDY LEONORA DELGADO CASTRO,BEATRIZ HERNANDEZ CHENA
23,4,PRI,JOSÉ LUIS ROSS CHALÉ,ARGELIA AGUILAR PANTOJA
23,4,MC,INMEL ALONSO AYALA GUEMEZ,VIRIDIANA JANETH VERA MARTINEZ
23,4,C_PAN_PRD_PESQROO,KARLA YLIANA ROMERO GOMEZ,PILAR DEL CARMEN ROCA PERERA
23,4,C_PAN_PRD,KARLA YLIANA ROMERO GOMEZ,PILAR DEL CARMEN ROCA PERERA
23,4,C_PAN_PESQROO,KARLA YLIANA ROMERO GOMEZ,PILAR DEL CARMEN ROCA PERERA
23,4,C_PRD_PESQROO,KARLA YLIANA ROMERO GOMEZ,PILAR DEL CARMEN ROCA PERERA
23,4,PAN,KARLA YLIANA ROMERO GOMEZ,PILAR DEL CARMEN ROCA PERERA
23,4,PRD,KARLA YLIANA ROMERO GOMEZ,PILAR DEL CARMEN ROCA PERERA
23,4,PESQROO,KARLA YLIANA ROMERO GOMEZ,PILAR DEL CARMEN ROCA PERERA
23,4,C_PVEM_PT_MORENA,TYARA SCHLESKE DE ARIÑO,MARCIA ALICIA FERNANDEZ PIÑA
23,4,C_PT_MORENA,TYARA SCHLESKE DE ARIÑO,MARCIA ALICIA FERNANDEZ PIÑA
23,4,C_PVEM_MORENA,TYARA SCHLESKE DE ARIÑO,MARCIA ALICIA FERNANDEZ PIÑA
23,4,C_PVEM_PT,TYARA SCHLESKE DE ARIÑO,MARCIA ALICIA FERNANDEZ PIÑA
23,4,MORENA,TYARA SCHLESKE DE ARIÑO,MARCIA ALICIA FERNANDEZ PIÑA
23,4,PT,TYARA SCHLESKE DE ARIÑO,MARCIA ALICIA FERNANDEZ PIÑA
23,4,PVEM,TYARA SCHLESKE DE ARIÑO,MARCIA ALICIA FERNANDEZ PIÑA
23,4,MAS,JOSE DAVID CAUICH ADRIAN,CARLOS ANDRES PEREZ AGUILAR
23,4,CQROO,NARCISO PEREZ BRAVO,ZULI MARLENNE MORENO GOMEZ
23,5,PAN,LUIS EDUARDO PACHO GALLEGOS,CARLOS ENRIQUE AVILA LIZARRAGA
23,5,PRI,RENATA RIOS GUEMES,ALEJANDRA ELOISA MARTINEZ LANDERO
23,5,PRD,LANDY ISELA POOL CANTO,ROSA MARIA LOPEZ MORALES
23,5,MC,CARLOS RAMON AVILA MATHEIS,RODRIGO ADRIAN MARIN BARQUET
23,5,PESQROO,BERZAIN RODRIGO VAZQUEZ COUTIÑO,CESAR ROSALES UTRERA
23,5,C_PVEM_PT_MORENA,REYNA ARELLY DURAN OVANDO,DENIA DE YTA BAUTISTA
23,5,C_PT_MORENA,REYNA ARELLY DURAN OVANDO,DENIA DE YTA BAUTISTA
23,5,C_PVEM_MORENA,REYNA ARELLY DURAN OVANDO,DENIA DE YTA BAUTISTA
